1 	ירושלים 	ירושלים 	753,100 	125,156 	‎ 1.5% 	מאה 10 לפנה"ס ‏[1] 	1863‏[2]
2 	תל אביב-יפו 	תל אביב 	391,300 	51,788 	‎ 0.6% 	1909‏[3] 	1921‏[4]
3 	חיפה 	חיפה 	265,200 	63,666 	‎ 0.2% 	1761‏[5] 	1873
4 	ראשון לציון 	מרכז 	225,000 	58,704 	‎ 0.7% 	1882 	1950
5 	אשדוד 	דרום 	208,100 	47,242 	‎ 1.1% 	1956 ‏[6] 	1968
6 	פתח תקווה 	מרכז 	191,100 	35,868 	‎ 2.4% 	1878 	1937
7 	באר שבע 	דרום 	186,900 	117,500 	‎ 0.9% 	1900 	1950
8 	נתניה 	מרכז 	177,700 	28,954 	‎ 1.3% 	1928 	1948
9 	חולון 	תל אביב 	169,800 	18,927 	‎ 1.2% 	1940 	1950
10 	בני ברק 	תל אביב 	152,200 	7,343 	‎ 1.7% 	1924‏[7] 	1950
11 	רמת גן 	תל אביב 	133,700 	13,229 	‎ 0.5% 	1921 	1950
12 	בת ים 	תל אביב 	129,100 	8,167 	‎ -0.1% 	1926 	1958
13 	אשקלון 	דרום 	109,500 	47,788 	‎ 1.2% 	1949 	1951
14 	רחובות 	מרכז 	107,300 	23,041 	‎ 2.1% 	1890 	1950
15 	הרצליה 	תל אביב 	84,200 	26,585 	‎ 0.1% 	1924 	1960
16 	כפר סבא 	מרכז 	82,200 	14,169 	‎ 1.4% 	1903 	1962
17 	חדרה 	חיפה 	77,500 	49,359 	‎ 1.2% 	1891 	1952
18 	בית שמש 	ירושלים 	74,100 	50,500 	‎ 4.2% 	1950 	1991
19 	רעננה 	מרכז 	73,000 	14,878 	‎ -0.1% 	1922 	1982
20 	מודיעין-מכבים-רעות 	מרכז 	68,600 	50,176 	‎ 4.5% 	1996‏[8] 	2001‏[9]
21 	לוד 	מרכז 	67,400 	12,226 	‎ 1.2% 	תקופת התנ"ך 	שלהי תקופת השלטון העות'מאני
22 	נצרת 	צפון 	65,900 	14,123 	‎ 1.1% 	תקופת בית שני 	1875
23 	רמלה 	מרכז 	65,200 	11,854 	‎ 0.9% 	המאה ה-8 	שלהי תקופת השלטון העות'מאני
24 	נהריה 	צפון 	51,200 	10,233 	‎ 0.7% 	1935 	1961
25 	קריית אתא 	חיפה 	49,800 	16,706 	‎ 0.6% 	1925 	1967
26 	גבעתיים 	תל אביב 	49,800 	3,246 	‎ 0.8% 	1922 	1959
27 	קריית גת 	דרום 	47,900 	16,302 	‎ 0.7% 	1954 	1972
28 	אילת 	דרום 	46,900 	84,789 	‎ 0.7% 	1951 	1967
29 	הוד השרון 	מרכז 	46,300 	19,236 	‎ 2.7% 	1964 	1990
30 	עכו 	צפון 	46,000 	15,533 	‎ 0.1% 	מאה 15 לפנה"ס 	שלהי תקופת השלטון העות'מאני
31 	כרמיאל 	צפון 	44,600 	19,188 	‎ 0.9% 	1964 	1984
32 	אום אל-פחם 	חיפה 	43,800 	22,253 	‎ 2.5% 	1265‏[10] 	1984
33 	נצרת עילית 	צפון 	43,000 	32,521 	‎ -0.6% 	1957 	1974
34 	רהט 	דרום 	42,900 	19,586 	‎ 3.3% 	1972 	1994
35 	מודיעין עילית 	יהודה ושומרון 	39,800 	4,746 	‎ 9.0% 	1990 	2008
36 	טבריה 	צפון 	39,700 	10,872 	‎ 0.1% 	20 לספירה 	1877
37 	קריית מוצקין 	חיפה 	39,700 	3,778 	‎ 0.4% 	1934 	1976
38 	עפולה 	צפון 	39,300 	26,909 	‎ 0.5% 	1925 	1972
39 	ראש העין 	מרכז 	38,300 	24,390 	‎ 2.2% 	1949 	1994
40 	רמת השרון 	תל אביב 	38,000 	16,792 	‎ 2.3% 	1923 	2002
41 	קריית ים 	חיפה 	36,800 	4,339 	‎ -0.3% 	1941 	1976
42 	קריית ביאליק 	חיפה 	36,200 	8,176 	‎ -0.1% 	1934 	1976
43 	טייבה 	מרכז 	35,100 	18,662 	‎ 1.9% 	המאה ה-17‏[11] 	1990
44 	שפרעם 	צפון 	34,500 	19,766 	‎ 2.1% 	תקופת התנאים 	1987
45 	דימונה 	דרום 	33,600 	29,877 	‎ 0.2% 	1955 	1969
46 	מעלה אדומים 	יהודה ושומרון 	33,400 	49,177 	‎ 2.4% 	1977 	1991
47 	ביתר עילית 	יהודה ושומרון 	33,400 	3,970 	‎ 7.8% 	1988 	2001
48 	נס ציונה 	מרכז 	33,300 	15,579 	‎ 5.1% 	1883 	1992
49 	באקה-ג'ת 	חיפה 	32,700 	16,392 	‎ 2.2% 	לא ידוע 	1996‏[12]
50 	אלעד 	מרכז 	32,600 	2,756 	‎ 8.1% 	1998 	2008
51 	אור יהודה 	תל אביב 	32,300 	5,141 	‎ 0.4% 	1949 	1988
52 	יבנה 	מרכז 	32,200 	10,700 	‎ 0.5% 	1949 	1986
53 	שגור 	צפון 	30,200 	17,737 	‎ 1.9% 	1964‏[13] 	2005
54 	צפת 	צפון 	28,700 	29,248 	‎ 1.1% 	ימי בית שני 	שלהי תקופת השלטון העות'מאני
55 	קריית אונו 	תל אביב 	27,900 	4,112 	‎ 4.0% 	1939 	1992
56 	טמרה 	צפון 	27,500 	29,259 	‎ 1.9% 	לא ידוע 	1996
57 	יהוד-מונוסון 	מרכז 	26,100 	5,014 	‎ 2.7% 	1948 	1995‏[14]
58 	נתיבות 	דרום 	25,900 	5,626 	‎ 2.5% 	1956 	2000
59 	סח'נין 	צפון 	25,200 	9,816 	‎ 1.4% 	התקופה הכנענית 	1995
60 	עיר הכרמל 	חיפה 	25,000 	15,561 	‎ 1.3% 	לא ידוע 	2003‏[15]
61 	מגדל העמק 	צפון 	24,800 	7,637 	‎ 0.2% 	1953 	1988
62 	אופקים 	דרום 	24,700 	10,273 	‎ 0.3% 	1955 	1995
63 	ערד 	דרום 	23,400 	93,140 	‎ 0.2% 	1962 	1995
64 	קריית שמונה 	צפון 	22,100 	14,228 	‎ 0.6% 	1950 	1974
65 	טירה 	מרכז 	21,700 	11,894 	‎ 1.8% 	לא ידוע 	1991
66 	נשר 	חיפה 	21,400 	12,790 	‎ 0.3% 	1921 	1995
67 	מעלות תרשיחא 	צפון 	21,400 	6,832 	‎ 1.1% 	1957‏[16] 	1996
68 	גבעת שמואל 	מרכז 	20,100 	2,579 	‎ 3.1% 	1944 	2007
69 	קריית מלאכי 	דרום 	19,700 	4,632 	‎ 0.5% 	1950 	1998
70 	שדרות 	דרום 	19,400 	4,722 	‎ 0.6% 	1953 	1996
71 	טירת כרמל 	חיפה 	18,700 	5,601 	‎ 0.1% 	1949 	1992
72 	יקנעם עילית 	חיפה 	18,700 	7,390 	‎ 0.7% 	1950 	2007
73 	כפר קאסם 	מרכז 	18,300 	8,745 	‎ 2.3% 	לא ידוע 	2008
74 	קלנסווה 	מרכז 	18,000 	8,417 	‎ 2.3% 	לא ידוע 	2000
75 	אריאל 	יהודה ושומרון 	16,600 	14,677 	‎ 0.1% 	1978 	1998
76 	בית שאן 	צפון 	16,600 	7,330 	‎ 0.8% 	1949 	1999
77 	אור עקיבא 	חיפה 	15,800 	3,539 	‎ 0.4% 	
